Reference	MT Abundance	Ref ID
CAS1_BOVIN	0.008022	129
CAS1_BOVIN	0.003994	129
CAS1_BOVIN	0.07474	129
CAS2_BOVIN	0.1685	122
CAS2_BOVIN	0.06423	122
CAS2_BOVIN	0.03822	122
CAS2_BOVIN	0.7432	122
CAS2_BOVIN	0.0992	122
CAS2_BOVIN	1.32758	122
CAS2_BOVIN	0.6316	122
CAS2_BOVIN	5.2668	122
CAS2_BOVIN	0.2824	122
CAS2_BOVIN	0.139	122
CAS2_BOVIN	0.1768	122
CAS2_BOVIN	3.35299	122
CAS2_BOVIN	0.35293	122
CAS2_BOVIN	2.6629	122
CAS2_BOVIN	0.035854	122
CAS2_BOVIN	0.50688	122
CAS2_BOVIN	0.0045	122
CAS2_BOVIN	0.02659	122
CAS2_BOVIN	0.02336	122
CAS2_BOVIN	0.147964	122
CAS2_BOVIN	0.02024	122
CAS2_BOVIN	0.04244	122
CASB_BOVIN	2.3208	136
CASB_BOVIN	39.40314	136
CASB_BOVIN	0.0808	136
CASB_BOVIN	0.1204	136
CASB_BOVIN	0.05258	136
CASB_BOVIN	3.6564	136
CASB_BOVIN	0.1165	136
CASB_BOVIN	0.20978	136
CASB_BOVIN	5.2668	136
CASB_BOVIN	0.00936	136
CASB_BOVIN	1.029532	136
CASB_BOVIN	0.00808	136
CASB_BOVIN	0.050808	136
CASB_BOVIN	0.637046	136
CASK_BOVIN	0.176	135
CASK_BOVIN	0.0404	135
CASK_BOVIN	3.0926	135
CASK_BOVIN	0.3404	135
CASK_BOVIN	0.2415	135
CASK_BOVIN	1.7497	135
CASK_BOVIN	0.04058	135
CASK_BOVIN	0.62101	135
CASK_BOVIN	0.06597	135
CASK_BOVIN	0.0654	135
CASK_BOVIN	0.12924	135
CASK_BOVIN	0.05805	135
CASK_BOVIN	6.8456	135
CASK_BOVIN	0.00306	135
CASK_BOVIN	0.01116	135
CASK_BOVIN	0.08578	135
CASK_BOVIN	0.05143	135
CASK_BOVIN	0.00894	135
CASK_BOVIN	0.02353	135
CASK_BOVIN	0.04179	135
CASK_BOVIN	0.01324	135
CATA_BOVIN	0.0582	106
CATA_BOVIN	0.10138	106
CATA_BOVIN	1.2892	106
CATA_BOVIN	0.08852	106
CATA_BOVIN	0.03964	106
CATA_BOVIN	0.14052	106
CATA_BOVIN	0.7432	106
CATA_BOVIN	0.065	106
CATA_BOVIN	5.01381	106
CATA_BOVIN	4.06494	106
CATA_BOVIN	0.22524	106
CATA_BOVIN	8.93204	106
CATA_BOVIN	0.0669	106
CATA_BOVIN	0.0651	106
CATA_BOVIN	3.76952	106
CATA_BOVIN	9.19031	106
CATA_BOVIN	7.39745	106
CATA_BOVIN	0.4996	106
CATA_BOVIN	1.19384	106
CATA_BOVIN	1.10315	106
CATA_BOVIN	0.3402	106
CATA_BOVIN	0.36878	106
CATA_BOVIN	0.03572	106
CATA_BOVIN	0.01804	106
CATA_BOVIN	0.29063	106
CATA_BOVIN	5.1526	106
CATA_BOVIN	0.0772	106
CATA_BOVIN	0.3447	106
CATA_BOVIN	0.3176	106
CATA_BOVIN	5.80833	106
CATA_BOVIN	0.01754	106
CATA_BOVIN	0.042548	106
CATA_BOVIN	0.50688	106
CATA_BOVIN	0.01248	106
CATA_BOVIN	0.12942	106
CATA_BOVIN	0.03072	106
CATA_BOVIN	0.146556	106
CATA_BOVIN	0.03072	106
CATA_BOVIN	0.063424	106
CATA_BOVIN	0.13334	106
CATA_BOVIN	0.05446	106
CATA_BOVIN	0.04974	106
CATA_BOVIN	0.03847	106
CATA_BOVIN	0.037688	106
CATA_BOVIN	0.020696	106
CATA_BOVIN	0.01857	106
CATA_BOVIN	0.06441	106
CATA_BOVIN	2.14645	106
CATA_BOVIN	0.81071	106
CATA_BOVIN	0.01448	106
CATA_BOVIN	0.086314	106
CATA_BOVIN	0.004054	106
CATA_BOVIN	0.012566	106
DNASE1_BOVIN	0.3402	121
DNASE1_BOVIN	0.09368	121
DNASE1_BOVIN	1.3986	121
DNASE1_BOVIN	0.2077	121
DNASE1_BOVIN	0.44632	121
DNASE1_BOVIN	0.03794	121
DNASE1_BOVIN	0.221	121
DNASE1_BOVIN	0.1204	121
DNASE1_BOVIN	0.00627	121
DNASE1_BOVIN	0.020696	121
DNASE1_BOVIN	0.037551	121
DNASE1_BOVIN	0.02578	121
DNASE1_BOVIN	0.0244	121
GT26_SCHJA	0.78274	131
GT26_SCHJA	0.1856	131
GT26_SCHJA	0.56362	131
GT26_SCHJA	0.2601	131
GT26_SCHJA	0.36834	131
GT26_SCHJA	0.0886	131
GT26_SCHJA	0.3335	131
GT26_SCHJA	0.4365	131
GT26_SCHJA	0.047	131
GT26_SCHJA	0.4548	131
GT26_SCHJA	0.057454	131
GT26_SCHJA	0.00669	131
GT26_SCHJA	0.006382	131
GT26_SCHJA	0.033027	131
GT26_SCHJA	0.006126	131
GT26_SCHJA	0.01306	131
GT26_SCHJA	0.35397	131
GT26_SCHJA	0.18932	131
HBA_BOVINa	0.18297	119
HBA_BOVINa	1.60824	119
HBA_BOVINa	1.7497	119
HBA_BOVINa	0.21488	119
HBA_BOVINa	0.2746	119
HBA_BOVINa	0.0747	119
HBA_BOVINa	0.15196	119
HBA_BOVINa	0.00428	119
HBA_BOVINa	0.01468	119
HBA_BOVINa	0.00924	119
HBA_BOVINa	0.0071	119
HBA_BOVINa	0.0782	119
HBA_BOVINa	0.01964	119
HBA_BOVINa	0.013995	119
HBB_BOVINb	0.369	114
HBB_BOVINb	0.51394	114
HBB_BOVINb	0.10252	114
HBB_BOVINb	0.41564	114
HBB_BOVINb	2.16887	114
HBB_BOVINb	0.56987	114
HBB_BOVINb	0.6244	114
HBB_BOVINb	0.1711	114
HBB_BOVINb	0.869	114
HBB_BOVINb	0.5027	114
HBB_BOVINb	1.16463	114
HBB_BOVINb	0.1175	114
HBB_BOVINb	0.3402	114
HBB_BOVINb	0.057106	114
HBB_BOVINb	0.21806	114
HBB_BOVINb	0.14304	114
HBB_BOVINb	0.064102	114
HBB_BOVINb	0.044864	114
HBB_BOVINb	0.253818	114
HBB_BOVINb	0.020696	114
K1CI_HUMAN	0.26736	112
K1CI_HUMAN	0.2877	112
K1CI_HUMAN	0.3924	112
K1CI_HUMAN	0.2824	112
K1CI_HUMAN	0.0638	112
K1CI_HUMAN	0.2665	112
